Year,State,County,Count,officer_10k,crime_10k,pop_diversity,black_pop_perc,urbanization_index,firearm_fatalities_100k,population,pop_density,male_perc,age_20_45_perc,Official_action_taken
2015,MD,Howard,1,NA,0,61.43,18.4,90.75,59,311297,1241.51,48.92,32.01,0
2015,MD,Prince George's,2,NA,NA,52.61,65.1,98.03,443.75,906197,1877.39,48.11,35.81,0
2015,MD,Wicomico,1,NA,NA,50.63,24.9,74.19,46.25,101747,271.73,47.58,33.21,0
2015,ME,Aroostook,1,NA,18.04,10.25,0.8,19.73,48.75,68818,10.32,49.4,25.96,0
2015,ME,Penobscot,1,NA,33.72,11.01,0.9,42.35,88,151929,44.72,49.5,31.96,0
2015,MI,Bay,1,NA,NA,17.42,1.7,69.69,57.5,105237,237.93,49.21,29.49,100
2015,MI,Berrien,1,NA,92.21,40.14,15.4,67.14,90.5,155022,273.05,48.97,28.96,0
2015,MI,Eaton,2,NA,210.95,28.76,7,62.03,54.25,108661,188.92,48.96,30.4,0
2015,MI,Gladwin,1,NA,NA,6.84,0.4,11.42,19,25227,50.28,50.38,23.28,0
2015,MI,Ingham,1,15.5,NA,46.07,12.2,86.79,122.75,287096,516.25,48.63,38.97,0
2015,MI,Kalamazoo,1,28.7,229.64,36.12,11.2,82.45,107.25,259676,462.34,49.02,36.99,0
2015,MI,Kent,2,13.1,84.13,41.09,10.3,84.32,210.5,637164,752.3,49.2,34.71,0
2015,MI,Montcalm,1,NA,NA,14.98,2.5,15.38,34.5,62763,88.98,51.57,30.27,0
2015,MI,Oakland,1,NA,1.19,43.03,14.4,95.21,515,1244602,1434.44,48.74,31.29,0
2015,MI,Osceola,1,NA,NA,9.49,0.9,0,15.75,23177,40.92,50.34,26.56,0
2015,MI,Wayne,4,17.22,0.06,58.87,39.6,99.3,1918,1764872,2883.4,48.1,32.45,0
2015,MN,Anoka,2,9.5,NA,28.78,5.1,86.5,121,344176,813.64,50,32.25,0
2015,MN,Hennepin,4,12.08,1.29,47.29,12.4,97.78,424,1222200,2207.77,49.36,36.63,25
2015,MN,Itasca,1,NA,NA,14.59,0.4,20.61,32.75,45267,16.97,50.49,25.54,0
2015,MN,Kanabec,1,NA,NA,9.12,0.5,22.6,21.25,15888,30.46,50.69,26.76,0
2015,MN,McLeod,1,NA,NA,14.32,0.7,53.44,11,35814,72.87,49.82,29.4,0
2015,MN,Ramsey,3,NA,44.09,53.88,11.6,99.81,194,536631,3525.6,48.66,35.96,0
2015,MO,Boone,2,13.2,90.22,34.12,9.4,81.21,87,174404,254.45,48.52,42.27,0
2015,MO,Christian,2,NA,NA,11.9,0.7,55.2,49.75,83077,147.65,48.91,31.93,0
2015,MO,Dekalb,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2015,MO,Franklin,1,NA,NA,8.74,1,44.4,77.25,102251,110.82,49.59,29.45,0
2015,MO,Greene,2,19.5,84.61,21.01,3.2,86,192.5,287312,425.46,48.74,36.51,0
2015,MO,Jackson,4,19.42,13.76,53.57,24,96.16,811.5,686783,1136.19,48.36,34.04,0
2015,MO,Pettis,1,NA,NA,25.57,3.3,62.22,24.5,42300,62,49.26,31.04,0
2015,MO,St .Louis,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2015,MO,St. Louis,5,NA,NA,47.89,23.7,99.43,854.25,1001109,1971.46,47.43,30.81,0
2015,MO,St. Louis County,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2015,MO,Stone,1,NA,NA,8.73,0.4,11.31,34.5,31307,67.47,48.92,21.38,0
2015,MS,George,2,NA,NA,21.95,8.5,11.68,21,23378,48.84,50.58,32.05,0
2015,MS,Harrison,1,NA,98.78,50.77,23.7,77.16,168.25,200674,349.61,49.31,34.28,0
2015,MS,Lincoln,2,NA,NA,45.66,30.7,30.5,42.5,34522,58.9,47.81,30.93,0
2015,MS,Lowndes,1,NA,NA,52.99,43.8,57.4,46.75,59697,118.09,47.75,33.17,0
2015,MS,Monroe,1,NA,NA,45.32,30.6,30.37,27.25,35823,46.82,47.67,29.86,0
2015,MS,Tishomingo,1,NA,NA,12.79,2.9,0,20.5,19481,45.92,48.48,28.48,0
2015,MT,Beaverhead,1,NA,NA,15.7,0.4,49.85,11,9295,1.68,51.2,30.21,0
2015,MT,Mineral,1,NA,NA,15.71,0.4,0,11,4192,3.44,51.29,21.61,0
2015,MT,Yellowstone,2,12.3,105.77,23.08,0.8,83.31,129,156529,59.44,49.12,32.36,0
